Place Name,Dataset,Numero_Recensioni,Latitude,Longitude,Link_to_Place,Address
Tony Barbershop Oporto,porto,2,,,"https://www.google.com/maps/search/Tony+Barbershop+Oporto+Rua+de+Costa+Cabral+316,+4200-222+Porto,+Portugal","Rua de Costa Cabral 316, 4200-222 Porto, Portugal"
Torre dos Clérigos,porto,9,41.1456705,-8.6145977,"https://www.google.com/maps/place/Torre+dos+Cl%C3%A9rigos/@41.1456705,-8.6145977,17z/data=!4m6!3m5!1s0xd2464e251ced649:0x425ec51327127c21!8m2!3d41.1456705!4d-8.6145977!16s%2Fg%2F120l7r57?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D","R. de São Filipe de Nery, 4050-546 Porto, Portugal"
Torreão restaurante|bar,porto,2,,,"https://www.google.com/maps/search/Torre%C3%A3o+restaurante%7Cbar+R.+das+Virtudes+37,+4050-630+Porto,+Portugal","R. das Virtudes 37, 4050-630 Porto, Portugal"
Torto - Bar & Cocktails,porto,1,,,"https://www.google.com/maps/search/Torto+-+Bar+&+Cocktails+R.+de+Jos%C3%A9+Falc%C3%A3o+199,+4050-199+Porto,+Portugal","R. de José Falcão 199, 4050-199 Porto, Portugal"
Tourigalo Porto,porto,5,41.1635124,-8.6611798,"https://www.google.com/maps/place/Tourigalo+Porto/@41.1635124,-8.6611798,17z/data=!4m6!3m5!1s0xd246f7d10691c9d:0xe1d6930fbd7dc59d!8m2!3d41.1635124!4d-8.6611798!16s%2Fg%2F11c1xqkq2z?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D","Av. da Boavista 3206, 4100-121 Porto, Portugal"
Tram Restaurante,porto,3,,,"https://www.google.com/maps/search/Tram+Restaurante+R.+Nova+da+Alf%C3%A2ndega+1,+4050-253+Porto,+Portugal","R. Nova da Alfândega 1, 4050-253 Porto, Portugal"
Trasca,porto,1,,,"https://www.google.com/maps/search/Trasca+R.+de+Tr%C3%A1s+16+4000,+4050-613+Porto,+Portugal","R. de Trás 16 4000, 4050-613 Porto, Portugal"
Trattoria 179,porto,2,,,"https://www.google.com/maps/search/Trattoria+179+R.+de+Rodrigues+Sampaio+179,+4000-425+Porto,+Portugal","R. de Rodrigues Sampaio 179, 4000-425 Porto, Portugal"
Traça essen Porto,porto,1,41.1429741,-8.6145703,"https://www.google.com/maps/place/Tra%C3%A7a+essen+Porto/@41.1429741,-8.6145703,17z/data=!4m6!3m5!1s0xd2464e19360f6df:0xd327bba21badd32d!8m2!3d41.1429741!4d-8.6145703!16s%2Fg%2F11b6c7rkfx?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D","Lgo de S. Domingos 88, 4050-545 Porto, Portugal"
Treze %,porto,1,,,"https://www.google.com/maps/search/Treze+%+Rua+da+Cerca+440,+4150-230+Porto,+Portugal","Rua da Cerca 440, 4150-230 Porto, Portugal"
Tribunal Judicial da Comarca do Porto - Juízo Local Criminal do Porto,porto,1,,,"https://www.google.com/maps/search/Tribunal+Judicial+da+Comarca+do+Porto+-+Ju%C3%ADzo+Local+Criminal+do+Porto+R.+do+Bolh%C3%A3o+17+25,+4049-005+Porto,+Portugal","R. do Bolhão 17 25, 4049-005 Porto, Portugal"
Trigo de Cantos - Amarante Tavern,porto,1,,,"https://www.google.com/maps/search/Trigo+de+Cantos+-+Amarante+Tavern+Pra%C3%A7a+dos+Poveiros+122,+4000-393+Porto,+Portugal","Praça dos Poveiros 122, 4000-393 Porto, Portugal"
Trindade,porto,3,,,"https://www.google.com/maps/search/Trindade+4000-124+Porto,+Portugal","4000-124 Porto, Portugal"
Trindade Bingo,porto,2,,,"https://www.google.com/maps/search/Trindade+Bingo+R.+do+Dr.+Ricardo+Jorge+52,+4050-514+Porto,+Portugal","R. do Dr. Ricardo Jorge 52, 4050-514 Porto, Portugal"
Trindadebar,porto,43,41.1503037,-8.6116998,"https://www.google.com/maps/place/Trindadebar/@41.1503037,-8.6116998,17z/data=!4m6!3m5!1s0xd2464fcbe3f2859:0xbf5d3509c8315f88!8m2!3d41.1503037!4d-8.6116998!16s%2Fg%2F11dymvs305?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D","R. do Dr. Ricardo Jorge 41, 4050-514 Porto, Portugal"
Trinity Porto,porto,2,,,"https://www.google.com/maps/search/Trinity+Porto+R.+dos+Her%C3%B3is+e+dos+M%C3%A1rtires+de+Angola+49,+4000-285+Porto,+Portugal","R. dos Heróis e dos Mártires de Angola 49, 4000-285 Porto, Portugal"
Tropical,porto,2,,,"https://www.google.com/maps/search/Tropical+Pra%C3%A7a+da+Batalha+132,+4000-101+Porto,+Portugal","Praça da Batalha 132, 4000-101 Porto, Portugal"
Tropical Burguer,porto,1,,,"https://www.google.com/maps/search/Tropical+Burguer+R.+de+Dom+Manuel+II+81,+4050-345+Porto,+Portugal","R. de Dom Manuel II 81, 4050-345 Porto, Portugal"
Tropical Burguer - Boavista,porto,3,,,"https://www.google.com/maps/search/Tropical+Burguer+-+Boavista+Av.+da+Boavista+1361,+4100-130+Porto,+Portugal","Av. da Boavista 1361, 4100-130 Porto, Portugal"
Tropical Burguer - Circunvalação,porto,3,41.1839201,-8.6023101,"https://www.google.com/maps/place/Tropical+Burguer+-+Circunvala%C3%A7%C3%A3o/@41.1839201,-8.6023101,17z/data=!4m6!3m5!1s0xd246437539f5cc7:0x6c03a5fbe6709924!8m2!3d41.1839201!4d-8.6023101!16s%2Fg%2F1tgvfxh4?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D","Estr. da Circunvalação 7824, 4200-162 Porto, Portugal"
Tropical Burguer - Marquês,porto,2,41.1620997,-8.6039575,"https://www.google.com/maps/search/Tropical+Burguer+-+Marqu%C3%AAs+Rua+de+Costa+Cabral+27,+4200-193+Porto,+Portugal","Rua de Costa Cabral 27, 4200-193 Porto, Portugal"
Trópico Café,porto,1,,,"https://www.google.com/maps/search/Tr%C3%B3pico+Caf%C3%A9+R.+de+Ant%C3%B3nio+Carneiro+404,+4300-025+Porto,+Portugal","R. de António Carneiro 404, 4300-025 Porto, Portugal"
